column_a,column_b,column_c
1,0,1
2,0.6931471805599453,4
3,1.0986122886681098,9
4,1.3862943611198906,16
5,1.6094379124341003,25
6,1.791759469228055,36
7,1.9459101490553132,49
8,2.0794415416798357,64
9,2.1972245773362196,81
10,2.302585092994046,100
11,2.3978952727983707,121
12,2.4849066497880004,144
13,2.5649493574615367,169
14,2.6390573296152584,196
15,2.70805020110221,225
16,2.772588722239781,256
17,2.833213344056216,289
18,2.8903717578961645,324
19,2.9444389791664403,361
20,2.995732273553991,400
21,3.044522437723423,441
22,3.091042453358316,484
23,3.1354942159291497,529
24,3.1780538303479458,576
25,3.2188758248682006,625
26,3.258096538021482,676
27,3.295836866004329,729
28,3.332204510175204,784
29,3.367295829986474,841
30,3.4011973816621555,900
31,3.4339872044851463,961
32,3.4657359027997265,1024
33,3.4965075614664802,1089
34,3.5263605246161616,1156
35,3.5553480614894135,1225
36,3.58351893845611,1296
37,3.6109179126442243,1369
38,3.6375861597263857,1444
39,3.6635616461296463,1521
40,3.6888794541139363,1600
41,3.713572066704308,1681
42,3.7376696182833684,1764
43,3.7612001156935624,1849
44,3.784189633918261,1936
45,3.8066624897703196,2025
46,3.828641396489095,2116
47,3.8501476017100584,2209
48,3.871201010907891,2304
49,3.8918202981106265,2401
50,3.912023005428146,2500
51,3.9318256327243257,2601
52,3.9512437185814275,2704
53,3.970291913552122,2809
54,3.9889840465642745,2916
55,4.007333185232471,3025
56,4.02535169073515,3136
57,4.04305126783455,3249
58,4.060443010546419,3364
59,4.07753744390572,3481
60,4.0943445622221,3600
61,4.110873864173311,3721
62,4.127134385045092,3844
63,4.143134726391533,3969
64,4.1588830833596715,4096
65,4.174387269895637,4225
66,4.189654742026425,4356
67,4.204692619390966,4489
68,4.219507705176107,4624
69,4.23410650459726,4761
70,4.248495242049359,4900
71,4.2626798770413155,5041
72,4.276666119016055,5184
73,4.290459441148391,5329
74,4.30406509320417,5476
75,4.31748811353631,5625
76,4.330733340286331,5776
77,4.343805421853684,5929
78,4.356708826689592,6084
79,4.3694478524670215,6241
80,4.382026634673881,6400
81,4.394449154672439,6561
82,4.406719247264253,6724
83,4.418840607796598,6889
84,4.430816798843313,7056
85,4.442651256490317,7225
86,4.454347296253507,7396
87,4.465908118654584,7569
88,4.477336814478207,7744
89,4.48863636973214,7921
90,4.499809670330265,8100
91,4.51085950651685,8281
92,4.5217885770490405,8464
93,4.532599493153256,8649
94,4.543294782270004,8836
95,4.553876891600541,9025
96,4.564348191467836,9216
97,4.574710978503383,9409
98,4.584967478670572,9604
99,4.59511985013459,9801
100,4.605170185988092,10000
101,4.61512051684126,10201
102,4.624972813284271,10404
103,4.634728988229636,10609
104,4.6443908991413725,10816
105,4.653960350157523,11025
106,4.663439094112067,11236
107,4.672828834461906,11449
108,4.68213122712422,11664
109,4.6913478822291435,11881
110,4.700480365792417,12100
111,4.709530201312334,12321
112,4.718498871295094,12544
113,4.727387818712341,12769
114,4.736198448394496,12996
115,4.74493212836325,13225
116,4.7535901911063645,13456
117,4.762173934797756,13689
118,4.770684624465665,13924
119,4.77912349311153,14161
120,4.787491742782046,14400
121,4.795790545596741,14641
122,4.804021044733257,14884
123,4.812184355372417,15129
124,4.820281565605037,15376
125,4.8283137373023015,15625
126,4.836281906951478,15876
127,4.844187086458591,16129
128,4.852030263919617,16384
129,4.859812404361672,16641
130,4.867534450455582,16900
131,4.875197323201151,17161
132,4.882801922586371,17424
133,4.890349128221754,17689
134,4.897839799950911,17956
135,4.90527477843843,18225
136,4.912654885736052,18496
137,4.919980925828125,18769
138,4.927253685157205,19044
139,4.9344739331306915,19321
140,4.941642422609304,19600
141,4.948759890378168,19881
142,4.955827057601261,20164
143,4.962844630259907,20449
144,4.969813299576001,20736
145,4.976733742420574,21025
146,4.983606621708336,21316
147,4.990432586778736,21609
148,4.997212273764115,21904
149,5.003946305945459,22201
150,5.0106352940962555,22500
151,5.017279836814924,22801
152,5.0238805208462765,23104
153,5.030437921392435,23409
154,5.0369526024136295,23716
155,5.043425116919247,24025
156,5.049856007249537,24336
157,5.056245805348308,24649
158,5.062595033026967,24964
159,5.0689042022202315,25281
160,5.075173815233827,25600
161,5.081404364984463,25921
162,5.087596335232384,26244
163,5.093750200806762,26569
164,5.099866427824199,26896
165,5.10594547390058,27225
166,5.111987788356544,27556
167,5.117993812416755,27889
168,5.123963979403259,28224
169,5.1298987149230735,28561
170,5.135798437050262,28900
171,5.14166355650266,29241
172,5.147494476813453,29584
173,5.153291594497779,29929
174,5.159055299214529,30276
175,5.1647859739235145,30625
176,5.170483995038151,30976
177,5.176149732573829,31329
178,5.181783550292085,31684
179,5.187385805840755,32041
180,5.19295685089021,32400
181,5.198497031265826,32761
182,5.204006687076795,33124
183,5.209486152841421,33489
184,5.214935757608986,33856
185,5.220355825078324,34225
186,5.225746673713202,34596
187,5.231108616854587,34969
188,5.236441962829949,35344
189,5.241747015059643,35721
190,5.247024072160486,36100
191,5.25227342804663,36481
192,5.2574953720277815,36864
193,5.262690188904886,37249
194,5.267858159063328,37636
195,5.272999558563747,38025
196,5.278114659230517,38416
197,5.2832037287379885,38809
198,5.288267030694535,39204
199,5.293304824724492,39601
200,5.298317366548036,40000
201,5.303304908059076,40401
202,5.308267697401205,40804
203,5.313205979041787,41209
204,5.318119993844216,41616
205,5.3230099791384085,42025
206,5.327876168789581,42436
207,5.332718793265369,42849
208,5.337538079701318,43264
209,5.342334251964811,43681
210,5.3471075307174685,44100
211,5.351858133476067,44521
212,5.356586274672012,44944
213,5.3612921657094255,45369
214,5.365976015021851,45796
215,5.3706380281276624,46225
216,5.375278407684165,46656
217,5.37989735354046,47089
218,5.384495062789089,47524
219,5.389071729816501,47961
220,5.393627546352362,48400
221,5.3981627015177525,48841
222,5.402677381872279,49284
223,5.407171771460119,49729
224,5.4116460518550396,50176
225,5.41610040220442,50625
226,5.420534999272286,51076
227,5.424950017481403,51529
228,5.429345628954441,51984
229,5.43372200355424,52441
230,5.438079308923196,52900
231,5.442417710521793,53361
232,5.44673737166631,53824
233,5.4510384535657,54289
234,5.455321115357702,54756
235,5.459585514144159,55225
236,5.4638318050256105,55696
237,5.4680601411351315,56169
238,5.472270673671475,56644
239,5.476463551931511,57121
240,5.480638923341991,57600
241,5.484796933490655,58081
242,5.488937726156687,58564
243,5.493061443340548,59049
244,5.497168225293202,59536
245,5.501258210544727,60025
246,5.5053315359323625,60516
247,5.5093883366279774,61009
248,5.5134287461649825,61504
249,5.517452896464707,62001
