column_a,column_b,column_c
1,0,1
3,1.0986122886681098,9
5,1.6094379124341003,25
7,1.9459101490553132,49
9,2.1972245773362196,81
11,2.3978952727983707,121
13,2.5649493574615367,169
15,2.70805020110221,225
17,2.833213344056216,289
19,2.9444389791664403,361
21,3.044522437723423,441
23,3.1354942159291497,529
25,3.2188758248682006,625
27,3.295836866004329,729
29,3.367295829986474,841
31,3.4339872044851463,961
33,3.4965075614664802,1089
35,3.5553480614894135,1225
37,3.6109179126442243,1369
39,3.6635616461296463,1521
41,3.713572066704308,1681
43,3.7612001156935624,1849
45,3.8066624897703196,2025
47,3.8501476017100584,2209
49,3.8918202981106265,2401
51,3.9318256327243257,2601
53,3.970291913552122,2809
55,4.007333185232471,3025
57,4.04305126783455,3249
59,4.07753744390572,3481
61,4.110873864173311,3721
63,4.143134726391533,3969
65,4.174387269895637,4225
67,4.204692619390966,4489
69,4.23410650459726,4761
71,4.2626798770413155,5041
73,4.290459441148391,5329
75,4.31748811353631,5625
77,4.343805421853684,5929
79,4.3694478524670215,6241
81,4.394449154672439,6561
83,4.418840607796598,6889
85,4.442651256490317,7225
87,4.465908118654584,7569
89,4.48863636973214,7921
91,4.51085950651685,8281
93,4.532599493153256,8649
95,4.553876891600541,9025
97,4.574710978503383,9409
99,4.59511985013459,9801
101,4.61512051684126,10201
103,4.634728988229636,10609
105,4.653960350157523,11025
107,4.672828834461906,11449
109,4.6913478822291435,11881
111,4.709530201312334,12321
113,4.727387818712341,12769
115,4.74493212836325,13225
117,4.762173934797756,13689
119,4.77912349311153,14161
121,4.795790545596741,14641
123,4.812184355372417,15129
125,4.8283137373023015,15625
127,4.844187086458591,16129
129,4.859812404361672,16641
131,4.875197323201151,17161
133,4.890349128221754,17689
135,4.90527477843843,18225
137,4.919980925828125,18769
139,4.9344739331306915,19321
141,4.948759890378168,19881
143,4.962844630259907,20449
145,4.976733742420574,21025
147,4.990432586778736,21609
149,5.003946305945459,22201
151,5.017279836814924,22801
153,5.030437921392435,23409
155,5.043425116919247,24025
157,5.056245805348308,24649
159,5.0689042022202315,25281
161,5.081404364984463,25921
163,5.093750200806762,26569
165,5.10594547390058,27225
167,5.117993812416755,27889
169,5.1298987149230735,28561
171,5.14166355650266,29241
173,5.153291594497779,29929
175,5.1647859739235145,30625
177,5.176149732573829,31329
179,5.187385805840755,32041
181,5.198497031265826,32761
183,5.209486152841421,33489
185,5.220355825078324,34225
187,5.231108616854587,34969
189,5.241747015059643,35721
191,5.25227342804663,36481
193,5.262690188904886,37249
195,5.272999558563747,38025
197,5.2832037287379885,38809
199,5.293304824724492,39601
201,5.303304908059076,40401
203,5.313205979041787,41209
205,5.3230099791384085,42025
207,5.332718793265369,42849
209,5.342334251964811,43681
211,5.351858133476067,44521
213,5.3612921657094255,45369
215,5.3706380281276624,46225
217,5.37989735354046,47089
219,5.389071729816501,47961
221,5.3981627015177525,48841
223,5.407171771460119,49729
225,5.41610040220442,50625
227,5.424950017481403,51529
229,5.43372200355424,52441
231,5.442417710521793,53361
233,5.4510384535657,54289
235,5.459585514144159,55225
237,5.4680601411351315,56169
239,5.476463551931511,57121
241,5.484796933490655,58081
243,5.493061443340548,59049
245,5.501258210544727,60025
